name;lat;lon
"Бизнес-центр ""Парус""";55.7751578;37.5867298
"Бизнес-центр ""Паскаль""";55.6944893;37.66205269999999
"Бизнес-центр ""Пересвет""";55.722946300000004;37.6702844
"Бизнес-центр ""Плотников""";55.7466599;37.588106399999994
"Бизнес-центр ""Принт""";55.837996999999994;37.45373029999999
"Бизнес-центр ""Путейский тупик, 6""";55.761253700000005;37.6597877
"Бизнес-центр ""РТС""";55.7331602;37.697427499999996
"Бизнес-центр ""Селезнёвская, 11""";55.78123879999999;37.603825
"Бизнес-центр ""Серпуховской двор""";55.70597119999999;37.602523299999994
"Бизнес-центр ""Сибирь""";55.76232499999999;37.569897999999995
"Бизнес-центр ""Сильвер Стоун""";55.846466899999996;37.6554977
"Бизнес-центр ""Слободской""";55.712493200000004;37.654476499999994
"Бизнес-центр ""Сорус Холл""";55.81831030000001;37.7698616
"Бизнес-центр ""Таволга""";55.8303827;37.5178405
"Бизнес-центр ""Троицкий""";55.776778400000005;37.6215173
"Бизнес-центр ""Тропикано""";55.7625379;37.5702676
"Бизнес-центр ""Тушино""";55.83416259999999;37.410745999999996
"Бизнес-центр ""Улей-Плаза""";55.7844271;37.709731999999995
"Бизнес-центр ""Усадьба Суворовых""";55.76795709999999;37.644218
"Бизнес-центр ""Ферро-плаза""";55.67965060000001;37.56700099999999
"Бизнес-центр ""Флагман""";55.839831999999994;37.4894583
"Бизнес-центр ""Чайка Плаза 6""";55.739289500000005;37.5978021
"Бизнес-центр ""Чайка Плаза""";55.7678372;37.632209499999995
"Бизнес-центр ""Четыре ветра""";55.774574;37.587118
"Бизнес-центр ""Экоофис""";55.7593059;37.6103849
"Бизнес-центр ""Энерджи Хаус""";55.747764800000006;37.633072899999995
"Бизнес-центр ""Якиманка""";55.737836800000004;37.61564119999999
"Бизнес-центр ""Яузская, 5""";55.7495354;37.645105799999996
Бизнес-центр Dominion Tower;55.7225359;37.6682682
Бизнес-центр Lighthouse;55.730633;37.6282446
Бизнес-центр Orbital;55.76294510000001;37.523311099999994
Бизнес-центр «The Yard»;55.7662758;37.526826
Бизнес-центр «Аврора»;55.7353426;37.6421294
Бизнес-центр «Александр-Хаус»;55.7412298;37.61428949999999
Бизнес-центр «Алтуфьевский»;55.8761852;37.588836
Бизнес-центр «Бульварное Кольцо»;55.76201749999999;37.64554879999999
Бизнес-центр «Газ Филд»;55.6576621;37.529402299999994
Бизнес-центр «Даев Плаза»;55.7693806;37.638418
Бизнес-центр «Дмитровский»;55.8042505;37.5834314
Бизнес-центр «Каланчёвский»;55.77228709999999;37.6516242
Бизнес-центр «Лиман»;55.66958399999999;37.5466502
Бизнес-центр «Метрополис» (корпус 2);55.8216315;37.4985827
Бизнес-центр «Мосэнка 5»;55.746750299999995;37.663944599999994
Бизнес-центр «Прео 8»;55.7948161;37.712781199999995
Бизнес-центр «Симоновский Плаза»;55.710216300000006;37.6521213
Бизнес-центр «Союз деловых людей»;55.8086449;37.77197639999999
Бизнес-центр «Станция»;55.77995859999999;37.687953199999995
Бизнес-центр «Тверской»;55.7647864;37.60765789999999
Бизнес-центр «Токмаков, 5 с1»;55.7683404;37.6701987
Бизнес-центр «Юникон»;55.754626200000004;37.756709799999996
Бизнес-центр «Яковоапостольский»;55.75887170000001;37.6563388
Бизнес-центр Валлекс;55.6607446;37.5380526
Бизнес-центр Диапазон;55.8046159;37.4903763
