university;lat;lon
Институт управления и права;55.6817063;37.7733458
Институт финансов и устойчивого развития;55.8497735;37.58746589999999
Институт экономики бизнеса;55.7226415;37.6380475
Институт экономики и культуры;55.7876769;37.72973269999999
Институт экономики, финансов и права;55.8532474;37.6123434
Институт экономической безопасности;55.70534200000001;37.5499174
Интуит;55.7717148;37.577261799999995
Историко-архивный институт РГГУ;55.7574832;37.6222938
Кафедра общественного здоровья и здравоохранения МГМСУ;55.765757;37.632160999999996
Кафедра факультетской терапии №2;55.7214243;37.56602409999999
Кафедры анатомии, гистологии, микробиологии академии им. И. М. Сеченова;55.756507899999995;37.6126806
Колледж электроники и информатики;55.981643999999996;37.2052665
"Корпоративный университет ОАО ""РЖД""";55.5144112;37.5600172
Корпус 3;55.730234900000006;37.81649
Краснопресненская обсерватория ГАИШ МГУ;55.75819279999999;37.56856989999999
Литературный институт им. А.М. Горького;55.7628682;37.6019423
МГАКХиС;55.732216099999995;37.700545999999996
МГВМИ;55.755772400000005;37.6969041
МГМУ Сеченова;55.780447300000006;37.55632529999999
МГПУ (экономический факультет);55.8431077;37.4338683
МГТУ ГА;55.84488859999999;37.4877509
МГТУ им. Н. Э. Баумана (Главный учебный корпус);55.765941199999986;37.68498999999999
МГТУ им. Н. Э. Баумана;55.76911409999999;37.68798859999999
МГТУ им. Н. Э. Баумана (Корпус Э);55.76885219999999;37.6896215
МГЮУ им. О. Е. Кутафина (МГЮА);55.80666769999999;37.7305467
МИРЭА — Российский технологический университет;55.727144200000005;37.6084391
МИРЭА, филиал «Соколиная гора»;55.76488220000001;37.74210409999999
МИЭМ НИУ ВШЭ;55.8031878;37.410469299999995
ММА им. Сеченова (Физический корпус);55.796178;37.7848887
МПГУ Физический Факультет Лабораторный корпус;55.7361462;37.5838244
МСХА им. К. А. Тимирязева;55.8248108;37.5512751
МФЮА;55.792664900000005;37.6515109
"МФЮА УК ""Бибирево""";55.88623759999999;37.614220499999995
Математический факультет МГПУ;55.780434199999995;37.67359869999999
Математический факультет НИУ ВШЭ;55.70518559999999;37.585935
Медико-биологический факультет РНИМУ им. Н. И. Пирогова;55.73513729999999;37.57961509999999
Медицинский научно-образовательный центр МГУ;55.69840849999999;37.5162409
Международная академия бизнеса и управления;55.7980585;37.6200155
Международная промышленная академия;55.723432;37.6326102
Международный еврейский институт экономики, финансов и права;55.8572192;37.606498599999995
Международный институт информатики, управления, экономики и права в г. Москве;55.77083459999999;37.619002
Международный институт экономики и права;55.776604999999996;37.6998169
Международный независимый эколого-политологический университет;55.81580659999999;37.5275713
Международный славянский институт;55.8046186;37.629501499999996
Международный университет в Москве;55.7820009;37.5707903
Московская Академия предпринимательства при Правительстве Москвы;55.80582369999999;37.540799899999996
Московская Международная Академия;55.65512389999999;37.76080369999999
Московская Международная Академия (ММА);55.8167508;37.616883
Московская академия экономики и права;55.7014017;37.6245378
Московская высшая школа социальных и экономических наук;55.7572446;37.6074166
Московская государственная академия ветеринарной медицины и биотехнологии имени К. И. Скрябина;55.69829469999999;37.7982023
Московская государственная академия водного транспорта;55.694453700000004;37.6593317
Московская государственная академия хореографии;55.7216787;37.5809447
Московская государственная консерватория;55.756286;37.6047365
Московская международная высшая школа бизнеса МИРБИС;55.736034;37.66379499999999
Московская финансово-юридическая академия;55.7233757;37.69168539999999
Московская школа управления «Сколково»;55.6951595;37.3900019
Московский Городской Педагогический Университет;55.80242019999999;37.5612931
Московский Политех;55.833923500000004;37.54355019999999
Московский Приборостроительный Техникум;55.6649952;37.5978084
Московский Университет им. А.С. Грибоедова;55.74146850000001;37.6422756
Московский авиационный институт;55.8103313;37.4987246
Московский авиационный институт (национальный исследовательский университет);55.740166;37.407924400000006
Московский автомобильно-дорожный государственный технический университет;55.8027972;37.5291299
Московский архитектурно-строительный институт;55.747014;37.7174864
Московский архитектурный институт;55.763162799999996;37.62261349999999
Московский городской педагогический университет;55.74926339999999;37.642058799999994
Московский городской университет управления Правительства Москвы;55.77078410000001;37.633250999999994
Московский городской университет. Центр проектного творчества;55.780567299999994;37.63639559999999
Московский государственный агроинженерный университет имени В. П. Горячкина;55.8358161;37.55694619999999
Московский государственный академический художественный институт имени В. И. Сурикова;55.7434941;37.666993399999996
Московский государственный гуманитарный университет им. М. А. Шолохова;55.74361410000001;37.6507396
Московский государственный гуманитарный университет имени М. А. Шолохова;55.73153270000001;37.73997769999999
Московский государственный институт индустрии туризма им. Ю.А. Сенкевича;55.8514113;37.509361
Московский государственный институт международных отношений (МГИМО);55.6726222;37.4874034
Московский государственный институт музыки имени А.Г. Шнитке;55.79374099999999;37.4861442
Московский государственный лингвистический университет;55.7388926;37.5939794
Московский государственный медико-стоматологический университет;55.84675889999999;37.5199664
Московский государственный медико-стоматологический университет (филиал);55.77005590000001;37.7357624
Московский государственный педагогический университет;55.703905;37.6196605
Московский государственный педагогический универститет;55.8147848;37.65565180000001
Московский государственный психолого-педагогический университет;55.7493261;37.52439189999999
Московский государственный психолого-педагогический университет. Филиал;55.786305;37.3524272
