station;lat;lon
Пушкинская;55.7654281;37.6074165
Пыхтино;55.6245026;37.295668
Пятницкое шоссе;55.856143;37.3542024
Раменки;55.6975607;37.4985423
Рассказовка;55.6340295;37.3350858
Речной вокзал;55.8550132;37.4762129
Рижская;55.7937015;37.6364976
Римская;55.7463418;37.683251
Румянцево;55.6329538;37.4415854
Рязанский проспект;55.716947;37.7933151
Савёловская;55.7924879;37.5888159
Саларьево;55.621922;37.4241868
Свиблово;55.8552129;37.652706
Севастопольская;55.6526736;37.598434
Селигерская;55.8666119;37.5471803
Семёновская;55.7833072;37.7212818
Серпуховская;55.7279529;37.6248289
Славянский бульвар;55.7295963;37.4707878
Смоленская;55.747394;37.5818245
Сокол;55.805267;37.5150534
Сокольники;55.7888168;37.6802525
Солнцево;55.649569;37.3911002
Спартак;55.8183044;37.4357519
Спортивная;55.7233833;37.5642133
Сретенский бульвар;55.7669878;37.6400865
Стахановская;55.7270183;37.7532484
Строгино;55.8037017;37.4030833
Студенческая;55.7388299;37.5484101
Сухаревская;55.7729551;37.6312038
Сходненская;55.8504805;37.4397738
Таганская;55.740465;37.6518996
Тверская;55.7648953;37.606313
Театральная;55.7575071;37.6191912
Текстильщики;55.7088138;37.7315039
Терехово;55.748029;37.4596435
Технопарк;55.6936232;37.6644353
Тимирязевская;55.8171256;37.5763885
Третьяковская;55.7409166;37.6273436
Тропарёво;55.645857;37.4725258
Трубная;55.7691136;37.6195511
Тульская;55.7086649;37.6228172
Тургеневская;55.766492;37.637467
Тушинская;55.8265293;37.4369761
Тютчевская;55.61905;37.4810854
Тёплый Стан;55.6188619;37.5082183
Улица 1905 года;55.7648611;37.5613413
Улица Академика Янгеля;55.5949862;37.6004358
Улица Горчакова;55.5416949;37.530718
Улица Дмитриевского;55.7101029;37.8802008
Улица Скобелевская;55.5481082;37.5546254
Улица Старокачаловская;55.5689553;37.5766521
Университет;55.6926632;37.5332847
Университет дружбы народов;55.6479373;37.5071425
Физтех;55.9216617;37.5465759
Филатов Луг;55.6015282;37.4074265
Фили;55.7461266;37.5148273
Филёвский парк;55.7395085;37.4833717
Фонвизинская;55.822916;37.5876371
Фрунзенская;55.7268793;37.57833
Ховрино;55.8781525;37.4808537
