atm_id;name;lat;lon
1;VTB ATM;55.7788504;37.6017276
2;VTB ATM;55.6916541;37.5349363
3;VTB ATM;55.7270179;37.6253563
4;VTB ATM;55.766132;37.637683
5;VTB ATM;55.7222665;37.5856709
6;VTB ATM;55.7093008;37.6609782
7;VTB ATM;55.7310981;37.834535
8;VTB ATM;55.830575;37.3969645
9;VTB ATM;55.7682889;37.6236894
10;VTB ATM;55.7753057;37.5826844
11;VTB ATM;55.7622205;37.6243878
12;VTB ATM;55.7876043;37.6005043
13;VTB ATM;55.7704373;37.5990983
14;VTB ATM;55.7756201;37.5929169
15;VTB ATM;55.7774878;37.5860301
16;VTB ATM;55.7646794;37.6171861
17;VTB ATM;55.7654415;37.5967859
18;VTB ATM;55.7686655;37.6466629
19;VTB ATM;55.7400845;37.4181379
20;VTB ATM;55.7299546;37.4838851
21;VTB ATM;55.7334214;37.6192064
22;VTB ATM;55.7280065;37.4433339
23;VTB ATM;55.8010243;37.5322416
24;VTB ATM;55.7467776;37.5819761
25;VTB ATM;55.8763348;37.44719
26;VTB ATM;55.6860417;37.4313065
27;VTB ATM;55.7586321;37.6583191
28;VTB ATM;55.7875125;37.6359158
29;VTB ATM;55.630308;37.6241689
30;VTB ATM;55.786306;37.722245
31;VTB ATM;55.7907883;37.3893207
32;VTB ATM;55.743251;37.535094
33;VTB ATM;55.7683056;37.6479213
34;VTB ATM;55.7464629;37.5372985
35;VTB ATM;55.788512;37.678654
36;VTB ATM;55.7773666;37.582314
37;VTB ATM;55.7230437;37.5829155
38;VTB ATM;55.7211564;37.8231211
39;VTB ATM;55.6715324;37.553318
40;VTB ATM;55.546401;37.5580897
41;VTB ATM;55.7723412;37.6496884
42;VTB ATM;55.8222414;37.623006
43;VTB ATM;55.7958386;37.6991081
44;VTB ATM;55.8839218;37.6866881
45;VTB ATM;55.6699235;37.4806256
46;VTB ATM;55.5479451;37.5438945
47;VTB ATM;55.8197527;37.6405628
48;VTB ATM;55.8880007;37.6627208
49;VTB ATM;55.7918975;37.7490643
50;VTB ATM;55.7658145;37.7434033
51;VTB ATM;55.7371982;37.6956153
52;VTB ATM;55.9837737;37.233765
53;VTB ATM;55.7608509;37.5812781
54;VTB ATM;55.6408704;37.5313914
55;VTB ATM;55.8232521;37.6398969
56;VTB ATM;55.7716014;37.6206391
57;VTB ATM;55.8623527;37.6823004
58;VTB ATM;55.8093019;37.6364655
59;VTB ATM;55.9825474;37.1754074
60;VTB ATM;55.6588801;37.7477455
61;VTB ATM;55.7913543;37.7479729
62;VTB ATM;55.7728869;37.6575802
63;VTB ATM;55.7433376;37.5669843
64;VTB ATM;55.6696224;37.5531999
65;VTB ATM;55.6303056;37.6242314
66;VTB ATM;55.7434984;37.6518619
67;VTB ATM;55.686691;37.5753428
68;VTB ATM;55.7601086;37.6246555
69;VTB ATM;55.770933;37.6715846
70;VTB ATM;55.7938137;37.6155547
