mall;lat;lon
Олимп;55.7512509;37.8162329
Отрадное;55.8654068;37.604458
Павелецкая Плаза;55.7309203;37.6390299
Пальтовый круг;55.6523501;37.822821
Парк 11;55.8078217;37.5733431
Парк Хаус;55.851002;37.5974616
Парк Хаус Братеево;55.6252532;37.7609458
Парковый;55.8053983;37.7808373
Парус;55.8380519;37.5768556
Персей для детей;55.5926459;37.6130982
Петровский;55.6280321;37.740965
Подсолнух;55.5351293;37.4473787
Потапово;55.5331438;37.4979041
Прага;55.7926534;37.5779801
Пражский Град;55.612068;37.6031268
Премьер;55.6629368;37.4859292
Пролетарский;55.6304877;37.6588447
РИО;55.6897413;37.602058
РЦ «Орион»;55.8691132;37.6772109
Радиорынок Старк;55.6262828;37.6663284
Радуга;55.5915013;37.3661964
Радужный;55.8692736;37.6630689
Раменки Пять;55.692979;37.4948294
Рассвет;55.8240545;37.518046
Речной;55.8548154;37.4776418
Ривьера;55.7050148;37.6404564
Рио;55.6637836;37.5113105
Ритейл Парк;55.6334065;37.6243954
Родник;55.8404826;37.3809216
Родной;55.6679278;37.5900279
СБС-Стиль;55.5951849;37.6072306
Садовая галерея;55.7723437;37.63145
Саяны;55.768349;37.8327269
"Свадебная галерея ""Салют""";55.6530886;37.8224087
Свежий рынок Московский;55.5979416;37.3465861
Свиблово;55.856199;37.6533053
Северное Сияние;55.5748928;37.5803034
Северный;55.8695723;37.5077737
Селектика;55.5983365;37.6017899
Семёновский;55.7829419;37.7207719
Скарабей;55.7044877;37.8345133
Смоленский пассаж;55.7475328;37.5812912
Смолл Бирюлёвский;55.5946716;37.6624532
Совёнок-1;55.7967721;37.5939098
Совёнок-2;55.7957485;37.5936274
Солнце Москвы;55.8260643;37.6284197
София;55.8037729;37.8005656
СпортEX;55.7377329;37.7166091
Спортивный;55.7969895;37.5940166
Среда;55.6028232;37.6517472
Столица;55.6470149;37.411678
Стрекоза;55.4319256;37.2732166
ТВЦ Экстрим;55.8701284;37.4697447
ТД «Ивановский»;55.7697456;37.8326333
ТД «Первомайский»;55.8055857;37.8011805
"ТК ""Саларьево""";55.6231952;37.4413387
ТК «Измайловская ярмарка»;55.7882285;37.7870761
ТРК «Миля»;55.6859758;37.8537497
ТРЦ «Гагаринский»;55.706947;37.5921551
ТРЦ «Щёлковский»;55.8110353;37.8009323
"ТЦ ""Авалон""";55.733555;37.8617445
"ТЦ ""Океан""";55.6782448;37.6974263
"ТЦ ""Твой""";55.8463053;37.373418
"ТЦ ""Хайвей""";55.5030709;37.5725322
ТЦ «Глобус-экстрим»;55.8036839;37.7539235
ТЦ «Грис Молл»;55.9289371;37.5453458
ТЦ «Ивановское»;55.7682721;37.8337267
ТЦ «Измайловский пассаж»;55.789559;37.7525463
ТЦ «Измайловский»;55.7926076;37.7870592
ТЦ «Крёкшино»;55.596266;37.1143974
ТЦ «Кубик»;55.7688223;37.8325603
ТЦ «На Челябинской, 15»;55.7788465;37.8277066
ТЦ «Парковый»;55.8051905;37.8041446
ТЦ «Саянский»;55.7691094;37.8325947
ТЦ «Саяны»;55.76813;37.8320181
ТЦ «Сказка»;55.6347591;37.334879
ТЦ «Сокольники»;55.7885039;37.6788316
ТЦ «Щёлково»;55.8106154;37.8308246
ТЦ «Ярмарка Крёкшино»;55.5967646;37.1141897
ТЦ Алмаз;55.707746;37.8288514
ТЦ Арфа;55.8764828;37.4222684
ТЦ Бирюлево;55.5792214;37.6580614
ТЦ Зеленоградский;55.9789259;37.1715858
ТЦ Савёлки;55.9912796;37.2161516
ТЦ Троицкое;55.3855283;37.4127596
ТЦ Юность;56.0002503;37.2089091
ТЦ на Сиреневом;55.4697788;37.296336
Таганский пассаж;55.7413419;37.6586837
"Торговая галерея ""Акрополь""";55.7331093;37.5923089
Торговая галерея на Серпуховском;55.7108076;37.6105955
"Торгово-административный центр ""Гавань""";55.8408491;37.485415
Торгово-гостиничный комплекс;55.6177814;37.5110356
"Торгово-деловой центр ""Маркос-Молл""";55.8883643;37.5888329
"Торгово-офисный центр ""Галерея 76""";55.6612863;37.5436869
Торгово-офисный центр «Аркадия»;55.744568;37.6301589
"Торгово-развлекательный комплекс ""Глобал Сити""";55.6226193;37.606003
"Торгово-развлекательный комплекс ""Новомосковский""";55.5932868;37.350432
"Торгово-развлекательный комплекс ""Щука""";55.809449;37.4644552
"Торгово-развлекательный центр ""Авентура""";55.6369458;37.5984585
"Торгово-развлекательный центр ""Браво""";55.6389324;37.7590847
"Торгово-развлекательный центр ""Бутово Молл""";55.5241786;37.5179072
"Торгово-развлекательный центр ""ВИВА!""";55.5653462;37.5561608
"Торгово-развлекательный центр ""Галеон""";55.6477505;37.4810225
"Торгово-развлекательный центр ""Галерея""";55.6207104;37.7165003
"Торгово-развлекательный центр ""Европейский""";55.7444711;37.5660005
"Торгово-развлекательный центр ""Каширская Плаза""";55.6212756;37.7139212
"Торгово-развлекательный центр ""Ладья""";55.8460686;37.3581319
"Торгово-развлекательный центр ""Мичуринский""";55.6716647;37.4460227
"Торгово-развлекательный центр ""Москворечье""";55.6533666;37.6462515
"Торгово-развлекательный центр ""Облака""";55.6120498;37.7326775
"Торгово-развлекательный центр ""Парус""";55.8852129;37.4069034
"Торгово-развлекательный центр ""Пятая Авеню""";55.7997474;37.48315
"Торгово-развлекательный центр ""Саларис""";55.6235356;37.4222294
"Торгово-развлекательный центр ""Спектр""";55.6194266;37.5092451
"Торгово-развлекательный центр ""Филион""";55.7439874;37.5080962
Торгово-развлекательный центр «XL»;55.8637279;37.5456286
Торгово-развлекательный центр «АФИМОЛЛ Сити»;55.7491456;37.5396074
Торгово-развлекательный центр «Калейдоскоп»;55.8504828;37.4444025
Торгово-развлекательный центр «Нора»;55.6825397;37.6629289
Торгово-развлекательный центр «Флотилия»;55.8540614;37.497057
"Торгово–развлекательный центр ""Рио""";55.9094456;37.5402996
Торгово–развлекательный центр «Зиг-Заг»;55.8898078;37.5383058
"Торговый дом ""Арколь""";55.7674094;37.7290113
"Торговый дом ""Арфа""";55.8943861;37.5881983
"Торговый дом ""Перовский""";55.7527927;37.8193517
